name,HAPPY,ANGRY,SURPRISED,FEAR,CALM,CONFUSED,SAD,DISGUSTED
ג'ידא רינאווי זועבי,56.330017296516374,2.395015052479246,8.87475818136464,7.4552587011586064,25.812832847885463,7.343703847216523,3.981770950814952,1.0510412301544263
גבי לסקי,10.558485660258503,0.8262022748766911,19.44956920260475,7.521336555480957,56.55637231752986,7.750488139334179,15.776770989100138,0.6498202243376345
גדי יברקן,55.303278336922325,0.8970386395851772,7.924086284637451,6.118284130096436,27.840584795301158,8.399874229480822,2.432614866892497,3.4717277926703294
גדעון סער,15.27267068872849,10.733253956927607,13.61986760298411,6.370537539323171,45.95760328951292,16.3395966583242,2.947228958209356,1.565768722134332
גילה גמליאל,35.052292730855314,1.2981581636949588,6.830286678514983,6.049880354027999,38.18230704061295,21.543148953663675,2.629506838949103,1.196823429904486
גלית דיסטל-אטבריאן,25.108507136503857,9.50982560714086,8.592813703748915,7.199280182520549,34.717685901456406,6.029725054899852,3.697111474143134,14.487262951003181
גלעד קריב,4.460614094374857,13.497938461601734,13.580154339472452,9.106237967809042,67.31390232344468,3.7292181115287044,2.3897138436635337,0.699738749070093
דוד ביטן,16.126478241058066,3.3617748161777854,7.3025109966595965,9.240617195765177,39.22348261810839,26.907141747574013,5.052934219439824,4.459039396295945
דודי אמסלם,28.817859714701772,10.952429270036518,19.34163339614868,11.098044509887695,22.123238097429276,13.194255223199725,7.399187612533569,0.7675221102312207
וליד טאהא,9.207145422697067,25.6221630317159,9.918386071920395,6.419300407171249,39.578120066202246,10.211708627059124,3.099220186471939,7.975779200380202
זאב אלקין,14.050361101116453,9.632701575578679,7.706384499867757,6.49075714747111,46.313926088934146,15.971402348507018,8.475658530280704,4.39659681845279
זאב בנימין בגין,7.18547763886551,1.7382646697262922,12.786390113830567,6.386572742462159,65.75414690971374,9.961913004145027,14.342274490992228,1.3730166132251422
חבר הכנסת אלי כהן,8.85834134183824,5.693243274955373,13.788425320073179,6.446680646193655,55.42230523260016,18.08584157416695,3.7549590813486198,1.0681981624741304
חיים ביטון,26.760513313321603,0.7901184120111995,12.87109218703376,6.066612561543782,50.913992584993444,11.772230960428715,2.5856016079584756,0.9071875200089481
חיים כץ,73.2694622432744,1.880848450517213,7.121645803804751,6.154105981190999,17.043626164262943,3.891173334568049,2.3204092891127974,1.3187110359194103
